,ZIPCODE,percent_met_standard,district
0,98034,0.7202609363008442,LAKE WASHINGTON
1,98074,0.7202609363008442,LAKE WASHINGTON
2,98034,0.7202609363008442,LAKE WASHINGTON
3,98053,0.7202609363008442,LAKE WASHINGTON
4,98074,0.7202609363008442,LAKE WASHINGTON
5,98074,0.7202609363008442,LAKE WASHINGTON
6,98053,0.7202609363008442,LAKE WASHINGTON
7,98033,0.7202609363008442,LAKE WASHINGTON
8,98034,0.7202609363008442,LAKE WASHINGTON
9,98033,0.7202609363008442,LAKE WASHINGTON
10,98034,0.7202609363008442,LAKE WASHINGTON
11,98053,0.7202609363008442,LAKE WASHINGTON
12,98074,0.7202609363008442,LAKE WASHINGTON
13,98034,0.7202609363008442,LAKE WASHINGTON
14,98052,0.7202609363008442,LAKE WASHINGTON
15,98052,0.7202609363008442,LAKE WASHINGTON
16,98034,0.7202609363008442,LAKE WASHINGTON
17,98028,0.7202609363008442,LAKE WASHINGTON
18,98074,0.7202609363008442,LAKE WASHINGTON
19,98052,0.7202609363008442,LAKE WASHINGTON
20,98074,0.7202609363008442,LAKE WASHINGTON
21,98053,0.7202609363008442,LAKE WASHINGTON
22,98052,0.7202609363008442,LAKE WASHINGTON
23,98033,0.7202609363008442,LAKE WASHINGTON
24,98074,0.7202609363008442,LAKE WASHINGTON
25,98052,0.7202609363008442,LAKE WASHINGTON
26,98052,0.7202609363008442,LAKE WASHINGTON
27,98052,0.7202609363008442,LAKE WASHINGTON
28,98074,0.7202609363008442,LAKE WASHINGTON
29,98033,0.7202609363008442,LAKE WASHINGTON
30,98034,0.7202609363008442,LAKE WASHINGTON
31,98034,0.7202609363008442,LAKE WASHINGTON
32,98033,0.7202609363008442,LAKE WASHINGTON
33,98033,0.7202609363008442,LAKE WASHINGTON
34,98052,0.7202609363008442,LAKE WASHINGTON
35,98034,0.7202609363008442,LAKE WASHINGTON
36,98034,0.7202609363008442,LAKE WASHINGTON
37,98053,0.7202609363008442,LAKE WASHINGTON
38,98033,0.7202609363008442,LAKE WASHINGTON
39,98033,0.7202609363008442,LAKE WASHINGTON
40,98052,0.7202609363008442,LAKE WASHINGTON
41,98033,0.7202609363008442,LAKE WASHINGTON
42,98034,0.7202609363008442,LAKE WASHINGTON
43,98034,0.7202609363008442,LAKE WASHINGTON
44,98034,0.7202609363008442,LAKE WASHINGTON
45,98033,0.7202609363008442,LAKE WASHINGTON
46,98052,0.7202609363008442,LAKE WASHINGTON
47,98052,0.7202609363008442,LAKE WASHINGTON
48,98052,0.7202609363008442,LAKE WASHINGTON
49,98053,0.7202609363008442,LAKE WASHINGTON
50,98033,0.7202609363008442,LAKE WASHINGTON
51,98034,0.7202609363008442,LAKE WASHINGTON
52,98034,0.7202609363008442,LAKE WASHINGTON
53,98033,0.7202609363008442,LAKE WASHINGTON
54,98034,0.7202609363008442,LAKE WASHINGTON
55,98074,0.7202609363008442,LAKE WASHINGTON
56,98033,0.7202609363008442,LAKE WASHINGTON
57,98052,0.7202609363008442,LAKE WASHINGTON
58,98052,0.7202609363008442,LAKE WASHINGTON
59,98033,0.7202609363008442,LAKE WASHINGTON
60,98033,0.7202609363008442,LAKE WASHINGTON
61,98053,0.7202609363008442,LAKE WASHINGTON
62,98053,0.7202609363008442,LAKE WASHINGTON
63,98053,0.7202609363008442,LAKE WASHINGTON
64,98077,0.7202609363008442,LAKE WASHINGTON
65,98033,0.7202609363008442,LAKE WASHINGTON
66,98033,0.7202609363008442,LAKE WASHINGTON
67,98052,0.7202609363008442,LAKE WASHINGTON
68,98053,0.7202609363008442,LAKE WASHINGTON
69,98033,0.7202609363008442,LAKE WASHINGTON
70,98042,0.4057993853912221,KENT
71,98042,0.4057993853912221,KENT
72,98030,0.4057993853912221,KENT
73,98042,0.4057993853912221,KENT
74,98042,0.4057993853912221,KENT
75,98032,0.4057993853912221,KENT
76,98042,0.4057993853912221,KENT
77,98042,0.4057993853912221,KENT
78,98031,0.4057993853912221,KENT
79,98010,0.4057993853912221,KENT
80,98092,0.4057993853912221,KENT
81,98042,0.4057993853912221,KENT
82,98042,0.4057993853912221,KENT
83,98030,0.4057993853912221,KENT
84,98031,0.4057993853912221,KENT
85,98031,0.4057993853912221,KENT
86,98198,0.4057993853912221,KENT
87,98031,0.4057993853912221,KENT
88,98030,0.4057993853912221,KENT
89,98030,0.4057993853912221,KENT
90,98042,0.4057993853912221,KENT
91,98058,0.4057993853912221,KENT
92,98058,0.4057993853912221,KENT
93,98058,0.4057993853912221,KENT
94,98058,0.4057993853912221,KENT
95,98058,0.4057993853912221,KENT
